area ,num_resr,totalcap_1000_af,histave_1000_af ,2016_1000_af,2017_1000_af ,perc_ave,perc_cap 
NORTH COAST  ,6,3096.2,2063.5,1084.8,1906.9,92,62
SAN FRANCISCO BAY  ,17,714.5,466.3,462.6,577.2,124,81
CENTRAL COAST  ,6,993.8,588.4,140,460.5,78,46
SOUTH COAST  ,29,2122.6,1364.9,1015,1217.7,89,57
SACRAMENTO  ,43,16150.8,10440.1,8559.2,12496.6,120,77
SAN JOAQUIN  ,34,11478.8,6902,3602,8029.7,116,70
TULARE LAKE  ,6,2087.5,768.6,351.8,1027.5,134,49
NORTH LAHONTAN  ,5,1073.3,502.5,61.4,464.1,92,43
SOUTH LAHONTAN  ,8,411.6,267,235,267.3,100,65
SUBTOTAL,154,38129.1,23363.3,15511.8,26447.5,113,69
NORTH COAST,3,1137.1,581.2,399,428,74,38
COLORADO RIVER,4,52939,38348.7,23949.9,24158.1,63,46
SUBTOTAL,7,54076.1,38929.9,24348.9,24586.1,63,45
TOTAL,161,92205.2,62293.2,39860.7,51033.6,82,55
