index,county,hydrologic_region
27,monterey,Central Coast
35,san benito,Central Coast
40,san luis obispo,Central Coast
42,santa barbara,Central Coast
44,santa cruz,Central Coast
13,imperial,Colorado River
33,riverside,Colorado River
8,del norte,North Coast
12,humboldt,North Coast
23,mendocino,North Coast
47,siskiyou,North Coast
49,sonoma,North Coast
53,trinity,North Coast
2,alpine,North Lahontan
18,lassen,North Lahontan
46,sierra,North Lahontan
4,butte,Sacramento
6,colusa,Sacramento
9,el dorado,Sacramento
11,glenn,Sacramento
17,lake,Sacramento
25,modoc,Sacramento
29,nevada,Sacramento
31,placer,Sacramento
32,plumas,Sacramento
34,sacramento,Sacramento
45,shasta,Sacramento
51,sutter,Sacramento
52,tehama,Sacramento
57,yolo,Sacramento
58,yuba,Sacramento
1,alameda,San Francisco Bay
7,contra costa,San Francisco Bay
21,marin,San Francisco Bay
28,napa,San Francisco Bay
38,san francisco,San Francisco Bay
41,san mateo,San Francisco Bay
43,santa clara,San Francisco Bay
48,solano,San Francisco Bay
3,amador,San Joaquin
5,calaveras,San Joaquin
20,madera,San Joaquin
22,mariposa,San Joaquin
24,merced,San Joaquin
39,san joaquin,San Joaquin
50,stanislaus,San Joaquin
55,tuolumne,San Joaquin
19,los angeles,South Coast
30,orange,South Coast
37,san diego,South Coast
56,ventura,South Coast
14,inyo,South Lahontan
26,mono,South Lahontan
36,san bernardino,South Lahontan
10,fresno,Tulare Lake
15,kern,Tulare Lake
16,kings,Tulare Lake
54,tulare,Tulare Lake
