Rank,County,Population
1,Los Angeles County,10170292
2,San Diego County,3299521
3,Orange County,3169776
4,Riverside County,2361026
5,San Bernardino County,2128133
6,Santa Clara County,1918044
7,Alameda County,1638215
8,Sacramento County,1501335
9,Contra Costa County,1126745
10,Fresno County,974861
11,Kern County,882176
12,San Francisco County,864816
13,Ventura County,850536
14,San Mateo County,765135
15,San Joaquin County,726106
16,Stanislaus County,538388
17,Sonoma County,502146
18,Tulare County,459863
19,Santa Barbara County,444769
20,Solano County,436092
21,Monterey County,433898
22,Placer County,375391
23,San Luis Obispo County,281401
24,Santa Cruz County,274146
25,Merced County,268455
26,Marin County,261221
27,Butte County,225411
28,Yolo County,213016
29,El Dorado County,184452
30,Imperial County,180191
31,Shasta County,179533
32,Madera County,154998
33,Kings County,150965
34,Napa County,142456
35,Humboldt County,135727
36,Nevada County,98877
37,Sutter County,96463
38,Mendocino County,87649
39,Yuba County,74492
40,Lake County,64591
41,Tehama County,63308
42,San Benito County,58792
43,Tuolumne County,53709
44,Calaveras County,44828
45,Siskiyou County,43554
46,Amador County,37001
47,Lassen County,31345
48,Glenn County,28017
49,Del Norte County,27254
50,Colusa County,21482
51,Plumas County,18409
52,Inyo County,18260
53,Mariposa County,17531
54,Mono County,13909
55,Trinity County,13069
56,Modoc County,8965
57,Sierra County,2967
58,Alpine County,1110
