STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-TOTAL ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-WTotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-WTotl,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-WTotl,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
CA,06,Alameda County,001,06001,2010,1510.271,0.780,1447.920,1448.700,19.01,3.42,22.43,193.07,0.00,193.07,212.08,3.42,215.50,61.571,3.30,1.32,4.62,75,124.40,86,129.02,0.90,0.00,0.90,0.00,0.00,0.00,0.90,0.00,0.90,13.05,5.22,18.27,2.11,6.78,2.61,11.50,12.17,4.70,16.87,0.00,6.78,2.61,9.39,0.88,0.52,1.40,2.11,0.00,0.00,2.11,0.12,0.15,0.27,3.65,,3.65,9.00,,9.00,12.65,0.00,12.65,2.68,0.00,2.68,0.00,0.00,0.00,2.68,0.00,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.71,3.42,46.13,208.76,0.00,208.76,251.47,3.42,254.89
CA,06,Alpine County,003,06003,2010,1.175,0.220,0.530,0.750,0.08,0.00,0.08,0.11,0.00,0.11,0.19,0.00,0.19,0.425,0.03,0.01,0.04,94,0.08,107,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.22,4.22,0.30,1.27,0.05,1.62,0.00,4.22,4.22,0.30,1.27,0.05,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,4.35,0.00,4.35,4.46,0.01,4.47
CA,06,Amador County,005,06005,2010,38.091,5.220,24.990,30.210,1.22,0.00,1.22,6.37,0.00,6.37,7.59,0.00,7.59,7.881,0.44,0.13,0.57,72,3.12,103,3.69,0.21,0.00,0.21,0.20,0.00,0.20,0.41,0.00,0.41,5.56,11.47,17.03,0.20,0.00,0.00,0.20,5.24,11.25,16.49,0.00,0.00,0.00,0.00,0.32,0.22,0.54,0.20,0.00,0.00,0.20,0.10,0.13,0.23,0.00,,0.00,5.98,,5.98,5.98,0.00,5.98,0.14,0.00,0.14,0.42,0.00,0.42,0.56,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.67,0.00,7.67,24.70,0.00,24.70,32.37,0.00,32.37
CA,06,Butte County,007,06007,2010,220.000,123.340,62.860,186.200,28.50,0.00,28.50,14.34,0.00,14.34,42.84,0.00,42.84,33.800,2.21,0.33,2.54,75,28.92,155,31.46,3.17,0.00,3.17,0.85,0.00,0.85,4.02,0.00,4.02,239.79,406.35,646.14,131.38,33.71,56.77,221.86,239.26,405.99,645.25,130.74,33.71,56.77,221.22,0.53,0.36,0.89,0.64,0.00,0.00,0.64,0.14,0.18,0.32,18.83,,18.83,0.00,,0.00,18.83,0.00,18.83,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.24,0.40,0.00,0.40,0.00,0.00,0.00,0.40,0.00,0.40,69.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,0.00,0.00,0.40,0.00,0.40,69.47,293.04,0.24,293.28,422.05,0.00,422.05,715.09,0.24,715.33
CA,06,Calaveras County,009,06009,2010,45.578,4.160,28.850,33.010,0.48,0.00,0.48,9.17,0.00,9.17,9.65,0.00,9.65,12.568,0.58,0.20,0.78,62,6.33,192,7.11,0.17,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.17,1.86,10.51,12.37,0.82,2.07,1.96,4.85,1.47,9.57,11.04,0.27,2.07,1.96,4.30,0.39,0.94,1.33,0.55,0.00,0.00,0.55,0.17,0.21,0.38,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.26,0.00,3.26,20.13,0.00,20.13,23.39,0.00,23.39
CA,06,Colusa County,011,06011,2010,21.419,17.620,0.320,17.940,4.07,0.00,4.07,0.06,0.00,0.06,4.13,0.00,4.13,3.479,0.24,0.02,0.26,75,2.26,126,2.52,0.84,0.00,0.84,0.00,0.00,0.00,0.84,0.00,0.84,124.97,704.02,828.99,19.40,86.87,194.55,300.82,124.90,703.97,828.87,19.31,86.87,194.55,300.73,0.07,0.05,0.12,0.09,0.00,0.00,0.09,0.12,0.16,0.28,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.00,0.00,0.00,0.52,0.00,0.52,175.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.00,0.00,0.00,0.52,0.00,0.52,175.65,130.76,0.00,130.76,704.26,0.00,704.26,835.02,0.00,835.02
CA,06,Contra Costa County,013,06013,2010,1049.025,21.120,991.860,1012.980,8.21,0.00,8.21,169.97,0.00,169.97,178.18,0.00,178.18,36.045,2.05,0.66,2.71,75,90.72,90,93.43,3.34,0.00,3.34,0.00,0.00,0.00,3.34,0.00,3.34,5.58,61.47,67.05,4.18,3.79,30.30,38.27,3.06,60.00,63.06,1.32,3.79,30.30,35.41,2.52,1.47,3.99,2.86,0.00,0.00,2.86,0.16,0.20,0.36,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.50,1.09,0.00,1.09,0.00,49.50,49.50,1.09,49.50,50.59,3519.66,0.73,0.00,0.73,0.00,48.46,48.46,0.73,48.46,49.19,422.85,0.36,0.00,0.36,0.00,1.04,1.04,0.36,1.04,1.40,3096.81,20.43,0.50,20.93,232.30,49.50,281.80,252.73,50.00,302.73
CA,06,Del Norte County,015,06015,2010,28.610,19.540,1.200,20.740,2.73,0.00,2.73,0.16,0.00,0.16,2.89,0.00,2.89,7.870,0.49,0.10,0.59,75,1.33,64,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.49,0.18,9.67,7.70,0.00,0.00,7.70,9.43,0.12,9.55,7.61,0.00,0.00,7.61,0.06,0.06,0.12,0.09,0.00,0.00,0.09,0.21,0.29,0.50,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.93,0.01,12.94,0.73,0.00,0.73,13.66,0.01,13.67
CA,06,El Dorado County,017,06017,2010,181.058,35.370,132.190,167.560,6.17,0.00,6.17,37.45,0.00,37.45,43.62,0.00,43.62,13.498,0.64,0.17,0.81,60,21.27,127,22.08,0.89,0.00,0.89,0.00,0.00,0.00,0.89,0.00,0.89,4.86,5.33,10.19,4.32,2.47,0.00,6.79,3.45,4.35,7.80,3.38,2.47,0.00,5.85,1.41,0.98,2.39,0.94,0.00,0.00,0.94,0.07,0.09,0.16,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.01,0.00,0.01,0.03,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.65,0.03,12.68,43.05,0.00,43.05,55.70,0.03,55.73
CA,06,Fresno County,019,06019,2010,930.450,784.030,41.180,825.210,178.95,0.00,178.95,78.99,0.00,78.99,257.94,0.00,257.94,105.240,7.11,0.53,7.64,73,131.29,159,138.93,10.51,0.00,10.51,0.00,0.00,0.00,10.51,0.00,10.51,706.66,1786.11,2492.77,37.57,370.27,685.94,1093.78,704.36,1784.53,2488.89,36.04,370.27,685.94,1092.25,2.30,1.58,3.88,1.53,0.00,0.00,1.53,6.17,7.86,14.03,11.23,,11.23,11.23,,11.23,22.46,0.00,22.46,0.00,7.06,7.06,0.21,0.00,0.21,0.21,7.06,7.27,0.62,0.00,0.62,0.00,0.00,0.00,0.62,0.00,0.62,378.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.69,0.62,0.00,0.62,0.00,0.00,0.00,0.62,0.00,0.62,27.55,921.25,7.06,928.31,1884.93,0.00,1884.93,2806.18,7.06,2813.24
